;Kingdom;Phylum;Class;Order;Family;Genus
ASV_604;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
ASV_605;Bacteria;Proteobacteria;Alphaproteobacteria;Defluviicoccales;NA;NA
ASV_606;Bacteria;Proteobacteria;Gammaproteobacteria;UBA10353 marine group;NA;NA
ASV_607;Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;NA;NA
ASV_608;Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;NA;NA
ASV_609;Bacteria;Cyanobacteria;Cyanobacteriia;Phormidesmiales;Phormidesmiaceae;Acrophormium PCC-7375
ASV_610;Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;NA;NA
ASV_611;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;NA;NA
ASV_612;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
ASV_613;Bacteria;Myxococcota;bacteriap25;NA;NA;NA
ASV_614;Bacteria;PAUC34f;NA;NA;NA;NA
ASV_615;Bacteria;Proteobacteria;Alphaproteobacteria;NA;NA;NA
ASV_616;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Silicimonas
ASV_617;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halieaceae;NA
ASV_618;Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;NA;NA
ASV_619;Bacteria;Bacteroidota;Rhodothermia;Rhodothermales;Rhodothermaceae;NA
ASV_620;Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;NA;NA
ASV_621;Bacteria;Chloroflexi;TK10;NA;NA;NA
ASV_622;Bacteria;Chloroflexi;Anaerolineae;SBR1031;A4b;NA
ASV_623;Bacteria;PAUC34f;NA;NA;NA;NA
ASV_624;Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;NA;NA
ASV_625;Bacteria;Chloroflexi;Dehalococcoidia;S085;NA;NA
ASV_626;Bacteria;Chloroflexi;TK30;NA;NA;NA
ASV_627;Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;NA;NA
ASV_629;Bacteria;Chloroflexi;Anaerolineae;SBR1031;A4b;NA
ASV_631;Bacteria;Chloroflexi;Anaerolineae;Caldilineales;Caldilineaceae;NA
